N;CODIGO;CICLO;CURSO;ESP;HT;HP;HP*2;TH;CRD;REQUE;;;;;
1;;I;COMPRENSIÓN Y ARGUMENTACIÓN;0;3;1;2;5;4;Null;;;;;
2;;I;PENSAMIENTO RACIONAL Y ÉTICA;0;2;1;2;4;3;Null;;;;;
3;;I;MATEMÁTICA BÁSICA;0;3;1;2;5;4;Null;;;;;
4;;I;TALLER DE INNOVACIÓN Y EMPRENDIMIENTO;0;2;1;2;4;3;Null;;;;;
5;;I;ECOLOGÍA Y DESARROLLO SOSTENIBLE;0;2;1;2;4;3;Null;;;;;
6;;I;FÍSICA I;0;3;1;2;5;4;Null;;;;;
7;;I;INTRODUCCIÓN A LA INGENIERÍA AGRÍCOLA;0;1;1;2;3;2;Null;;;;;
8;;II;CÁLCULO DIFERENCIAL;0;3;1;2;5;4;Null;;;;;
9;;II;DIBUJO PARA INGENIERÍA;0;2;1;2;4;3;Null;;;;;
10;;II;GEOLOGÍA PARA OBRAS HIDRÁULICAS;0;2;1;2;4;3;Null;;;;;
11;;II;FÍSICA II;0;3;1;2;5;4;Null;;;;;
12;;II;QUÍMICA GENERAL;0;3;1;2;5;4;Null;;;;;
13;;II;SEGURIDAD Y DEFENSA NACIONAL;0;2;1;2;4;3;Null;;;;;
14;;II;INGLÉS;0;1;1;2;3;2;Null;;;;;
15;;III;CÁLCULO INTEGRAL;0;3;1;2;5;4;Null;;;;;
16;;III;ESTÁTICA;0;3;1;2;5;4;Null;;;;;
17;;III;SISTEMA DE INFORMACIÓN GEOGRÁFICA Y TELEDETECCIÓN;0;3;1;2;5;4;Null;;;;;
18;;III;TOPOGRAFÍA I;0;3;1;2;5;4;Null;;;;;
19;;III;MATERIALES Y PROCEDIMIENTOS DE LA CONSTRUCCIÓN;0;3;1;2;5;4;Null;;;;;
20;;III;ESTADÍSTICA;0;3;1;2;5;4;Null;;;;;
21;;IV;DINÁMICA;0;2;1;2;4;3;Null;;;;;
22;;IV;CÁLCULO AVANZADO;0;3;1;2;5;4;Null;;;;;
23;;IV;MÉTODOS NUMÉRICOS;0;2;1;2;4;3;Null;;;;;
24;;IV;METEOROLOGÍA Y CLIMATOLOGÍA;0;2;1;2;4;3;Null;;;;;
25;;IV;TOPOGRAFÍA II;0;3;1;2;5;4;Null;;;;;
26;;IV;LENGUAJE DE PROGRAMACIÓN;0;2;1;2;4;3;Null;;;;;
27;;IV;TECNOLOGÍA DEL CONCRETO;0;2;1;2;4;3;Null;;;;;
28;;V;RESISTENCIA DE MATERIALES;0;3;1;2;5;4;Null;;;;;
29;;V;HIDROLOGÍA GENERAL;0;3;1;2;5;4;Null;;;;;
30;;V;MECÁNICA DE SUELOS I;0;3;1;2;5;4;Null;;;;;
31;;V;MECÁNICA DE FLUIDOS;0;3;1;2;5;4;Null;;;;;
32;;V;MECANIZACIÓN AGRÍCOLA;0;3;1;2;5;4;Null;;;;;
33;;V;EDAFOLOGÍA Y AGROTECNIA;0;3;1;2;5;4;Null;;;;;
34;;VI;ANÁLISIS ESTRUCTURAL;0;3;1;2;5;4;Null;;;;;
35;;VI;HIDRÁULICA I;0;3;1;2;5;4;Null;;;;;
36;;VI;INGENIERÍA DE RIEGOS I;0;3;1;2;5;4;Null;;;;;
37;;VI;HIDROLOGÍA APLICADA;0;3;1;2;5;4;Null;;;;;
38;;VI;MAQUINARIA PARA OBRAS;0;3;1;2;5;4;Null;;;;;
39;;VI;MECÁNICA DE SUELOS II;0;3;1;2;5;4;Null;;;;;
40;;VII;CONCRETO ARMADO;0;3;1;2;5;4;Null;;;;;
41;;VII;HIDRÁULICA FLUVIAL;0;2;1;2;4;3;Null;;;;;
42;;VII;INGENIERÍA DE RIEGOS II;0;3;1;2;5;4;Null;;;;;
43;;VII;GESTIÓN DE CUENCAS HIDROGRÁFICAS;0;2;1;2;4;3;Null;;;;;
44;;VII;DISEÑO RURAL;0;2;1;2;4;3;Null;;;;;
45;;VII;MONITOREO DE LA CALIDAD DEL AGUA;0;2;1;2;4;3;Null;;;;;
46;;VII;HIDRÁULICA II;0;2;1;2;4;3;Null;;;;;
47;;VIII;HIDROGEOLOGÍA;0;3;1;2;5;4;Null;;;;;
48;;VIII;INGENIERÍA DE DRENAJE;0;3;1;2;5;4;Null;;;;;
49;;VIII;TALLER DE INVESTIGACIÓN I;0;3;1;2;5;4;Null;;;;;
50;;VIII;DISEÑO DE ESTRUCTURAS HIDRÁULICAS I;0;3;1;2;5;4;Null;;;;;
51;;VIII;COSTOS, PRESUPUESTO Y PROGRAMACIÓN;0;3;1;2;5;4;Null;;;;;
52;;VIII;ABASTECIMIENTO DE AGUA POTABLE Y ALCANTARILLADO;0;3;1;2;5;4;Null;;;;;
53;;IX;DISEÑO DE PRESAS;0;2;1;2;4;3;Null;;;;;
54;;IX;FORMULACIÓN Y EVALUACIÓN DE PROYECTOS;0;3;1;2;5;4;Null;;;;;
55;;IX;ORDENAMIENTO TERRITORIAL;0;2;1;2;4;3;Null;;;;;
56;;IX;EVALUACIÓN DEL IMPACTO AMBIENTAL;0;3;1;2;5;4;Null;;;;;
57;;IX;DISEÑO DE ESTRUCTURAS HIDRÁULICAS II;0;2;1;2;4;3;Null;;;;;
58;;IX;RESIDENCIA Y SUPERVISIÓN DE OBRAS;0;2;1;2;4;3;Null;;;;;
59;;IX;TALLER DE INVESTIGACIÓN II;0;2;1;2;4;3;Null;;;;;
60;;X;TALLER DE INVESTIGACIÓN III;0;2;1;2;4;3;Null;;;;;
61;;X;GESTIÓN DE RECURSOS HÍDRICOS;0;2;1;2;4;3;Null;;;;;
62;;X;PRACTICAS PRE-PROFESIONALES (*);0;0;2;4;4;2;Null;;;;;
63;;X;PROYECTOS DE IRRIGACIÓN (E) / ADMINISTRACIÓN Y LEGISLACIÓN DE OBRAS (E);0;2;1;2;4;3;Null;;;;;
64;;X;CAMINOS RURALES (E) / ADMINISTRACIÓN DE SISTEMAS HIDRÁULICOS (E);0;2;1;2;4;3;Null;;;;;
65;;X;APROVECHAMIENTO DE ENERGÍAS RENOVABLES (E) / GESTIÓN DE RIESGOS DE DESASTRES (E);0;2;1;2;4;3;Null;;;;;
